City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,luderitz,-26.6481,15.1594,60.82,87,0,14.12,NA,1711677968
144,tindouf,27.6711,-8.1474,61.25,41,0,13.8,DZ,1711677968
145,piti village,13.4626,144.6933,88.68,73,20,16.11,GU,1711677969
146,blackwater,-23.5833,148.8833,84.34,51,54,18.21,AU,1711677969
147,sept-iles,50.2001,-66.3821,35.06,97,100,5.75,CA,1711677904
148,ribeira grande,38.5167,-28.7,54.77,79,100,11.99,PT,1711677970
149,brokopondo,4.75,-55.1667,76.84,94,99,5.68,SR,1711677970
150,barika,35.389,5.3658,58.75,24,1,8.93,DZ,1711677970
151,machico,32.7,-16.7667,57.7,77,40,8.05,PT,1711677970
152,cabras,39.93,8.5314,55.29,74,100,12.24,IT,1711677970
153,puerto real,36.5282,-6.1901,62.76,88,75,20.71,ES,1711677970
154,vorgashor,67.5833,63.95,-12.28,100,45,1.36,RU,1711677825
155,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,82,0,5.99,RU,1711677873
156,afaahiti,-17.75,-149.2833,87.67,72,90,14.43,PF,1711677971
157,flying fish cove,-10.4217,105.6791,80.28,89,100,10.36,CX,1711677971
158,puerto baquerizo moreno,-0.9,-89.6,78.76,83,39,8.75,EC,1711677972
159,medina,24.4686,39.6142,68.43,60,75,3.44,SA,1711677972
160,alness,57.696,-4.2551,43.65,94,97,4.79,GB,1711677972
161,jutai,-5.1833,-68.9,74.98,96,98,1.12,BR,1711677972
162,bairnsdale,-37.8333,147.6167,72.05,66,0,3.0,AU,1711677972
163,nova sintra,14.8667,-24.7167,65.55,78,93,21.99,CV,1711677972
164,puerto armuelles,8.2833,-82.8667,81.09,70,98,3.0,PA,1711677973
165,mitsamiouli,-11.3847,43.2844,81.88,76,87,3.29,KM,1711677973
166,greymouth,-42.4667,171.2,59.68,45,14,6.55,NZ,1711677973
167,fort mcmurray,56.7268,-111.381,24.39,79,100,10.36,CA,1711677809
168,pathein,16.7833,94.7333,87.26,38,23,8.68,MM,1711677973
169,tura,25.5198,90.2201,79.29,47,50,1.52,IN,1711677973
170,gadzhiyevo,69.2551,33.3362,22.91,90,82,14.88,RU,1711677974
171,blackmans bay,-43.0167,147.3167,68.52,62,0,1.01,AU,1711677974
172,novoorsk,51.381,58.9813,32.65,98,100,11.16,RU,1711677974
173,klyuchi,52.2667,79.1667,41.59,68,74,25.68,RU,1711677974
174,lorengau,-2.0226,147.2712,85.1,74,48,4.9,PG,1711677974
175,funafuti,-8.5243,179.1942,91.4,70,40,6.91,TV,1711677974
176,lerwick,60.1545,-1.1494,42.8,94,100,13.0,GB,1711677975
177,saipan,15.1355,145.701,90.3,1,40,17.27,MP,1711677975
178,kuvshinovo,57.0295,34.1725,40.44,91,100,8.57,RU,1711677975
179,ghazni,33.5536,68.4269,46.53,69,100,3.47,AF,1711677975
180,inhambane,-23.865,35.3833,72.59,85,41,5.35,MZ,1711677975
181,papatowai,-46.5619,169.4708,53.19,67,88,12.12,NZ,1711677976
182,sao jose da coroa grande,-8.8978,-35.1478,80.26,88,99,10.25,BR,1711677976
183,sola,-13.8833,167.55,82.15,77,100,6.96,VU,1711677976
184,jaguaquara,-13.5306,-39.9708,70.03,97,89,3.65,BR,1711677779
185,manismata,-2.4667,111.0333,84.43,71,100,3.44,ID,1711677976
186,phang nga,8.4509,98.5298,82.44,57,97,4.18,TH,1711677976
187,busan,35.1028,129.0403,55.38,62,20,11.5,KR,1711677977
188,tolanaro,-25.0319,46.9987,71.67,94,75,6.91,MG,1711677977
189,cabo san lucas,22.8909,-109.9124,74.61,58,5,5.99,MX,1711677602
190,sisimiut,66.9395,-53.6735,14.9,67,9,9.66,GL,1711677977
191,balasore,21.4942,86.9317,83.1,65,9,5.5,IN,1711677977
192,buenaventura,3.8801,-77.0312,76.87,92,90,0.89,CO,1711677977
193,chonchi,-42.6128,-73.8092,60.01,97,100,5.26,CL,1711677692
194,whistler,50.1164,-122.9695,42.03,75,75,0.0,CA,1711677705
195,sambava,-14.2667,50.1667,77.09,94,100,12.8,MG,1711677978
196,betio village,1.358,172.9211,87.84,82,66,15.17,KI,1711677978
197,klaksvik,62.2266,-6.589,40.12,71,100,35.88,FO,1711677978
198,taulaga,-11.0553,-171.0883,85.84,73,19,13.24,AS,1711677978
199,sao joao da barra,-21.6403,-41.0511,75.42,91,100,2.17,BR,1711677979
200,waddan,29.1614,16.139,58.53,45,9,9.19,LY,1711677979
201,tuy hoa,13.0833,109.3,83.26,70,100,1.97,VN,1711677979
202,pangkalanbuun,-2.6833,111.6167,85.82,67,93,3.49,ID,1711677980
203,las tablas,7.7667,-80.2833,79.18,99,89,3.47,PA,1711677980
204,fukuecho,32.6881,128.8419,61.16,67,0,9.22,JP,1711677873
205,cullinan,-25.6709,28.5236,63.73,60,100,6.35,ZA,1711677980
206,talnakh,69.4865,88.3972,-5.51,91,100,9.13,RU,1711677907
207,prado,-17.3411,-39.2208,77.32,91,66,4.88,BR,1711677961
208,san andres,12.5847,-81.7006,82.42,78,20,8.05,CO,1711677963
209,igarka,67.4667,86.5833,1.54,85,100,9.17,RU,1711677981
210,lompoc,34.6391,-120.4579,59.77,71,0,13.8,US,1711677981
211,medicine hat,50.0501,-110.6683,32.43,80,100,11.5,CA,1711677752
212,kyzyl,51.7,94.45,19.02,96,98,3.0,RU,1711677942
213,pandan,14.0453,124.1694,84.67,68,68,8.08,PH,1711677981
214,rupert,42.6191,-113.6772,40.17,70,0,11.5,US,1711677981
215,priargunsk,50.3691,119.1012,15.75,90,100,17.52,RU,1711677982
216,tyup,42.7276,78.3648,43.39,74,100,4.74,KG,1711677982
